2620500.857,3723676.164,2794364.835,3306932.187,2554924.696,3399591.712,2950223.461,3394716.914,2715856.687,3794217.725
3723676.164,3950675.838,3699977.442,4039272.748,3450548.731,4211171.579,3685206.095,4230299.903,3489124.696,4134929.672
2794364.835,3699977.442,2447697.748,2939377.194,2423654.439,2967087.937,2685785.016,3199991.235,2813363.067,3634776.16
3306932.187,4039272.748,2939377.194,3116478.889,2889582.694,3262797.94,3028699.651,3546316.024,3202341.115,3897343.646
2554924.696,3450548.731,2423654.439,2889582.694,2180391.158,2954957.758,2553876.891,3041230.455,2543499.949,3441359.273
3399591.712,4211171.579,2967087.937,3262797.94,2954957.758,3231113.377,3100440.802,3610864.829,3386716.834,4075472.044
2950223.461,3685206.095,2685785.016,3028699.651,2553876.891,3100440.802,2630244.066,3341394.663,2873799.299,3648283.05
3394716.914,4230299.903,3199991.235,3546316.024,3041230.455,3610864.829,3341394.663,3441091.29,3386205.738,4139677.46
2715856.687,3489124.696,2813363.067,3202341.115,2543499.949,3386716.834,2873799.299,3386205.738,2440634.944,3541624.411
3794217.725,4134929.672,3634776.16,3897343.646,3441359.273,4075472.044,3648283.05,4139677.46,3541624.411,4021093.958
